PARTICIPANTES;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;AD_gain;AD_loss;AD_check;Scale_PSS10_UCLA_1;Scale_PSS10_UCLA_2;Scale_PSS10_UCLA_3;Scale_PSS10_UCLA_4;Scale_PSS10_UCLA_5;Scale_PSS10_UCLA_6;Scale_PSS10_UCLA_7;Scale_PSS10_UCLA_8;Scale_PSS10_UCLA_9;Scale_PSS10_UCLA_10;Scale_SLON_1;Scale_SLON_2;Scale_SLON_3;OECD_people_1;OECD_people_2;OECD_insititutions_1;OECD_insititutions_2;OECD_insititutions_3;OECD_insititutions_4;OECD_insititutions_5;OECD_insititutions_6;Corona_concerns_1;Corona_concerns_2;Corona_concerns_3;Corona_concerns_4;Corona_concerns_5;Trust_countrymeasure;Compliance_1;Compliance_2;Compliance_3;Compliance_4;Compliance_5;Compliance_6;born_92;experience_war;experience_war_TXT;war_injury;loss_during_war;time_spent_in_war;time_spent_in_war_TXT;Scale_UCLA_TRI_1;Scale_UCLA_TRI_2;Scale_UCLA_TRI_3;Scale_UCLA_TRI_4;PS_PTSD_1;PS_PTSD_2;PS_PTSD_3;PS_PTSD_4;PS_PTSD_5;BFF_15_1;BFF_15_2;BFF_15_3;BFF_15_4;BFF_15_5;BFF_15_6;BFF_15_7;BFF_15_8;BFF_15_9;BFF_15_10;BFF_15_11;BFF_15_12;BFF_15_13;BFF_15_14;BFF_15_15;Expl_Distress_1;Expl_Distress_2;Expl_Distress_3;Expl_Distress_4;Expl_Distress_5;Expl_Distress_6;Expl_Distress_7;Expl_Distress_8;Expl_Distress_9;Expl_Distress_10;Expl_Distress_11;Expl_Distress_12;Expl_Distress_13;Expl_Distress_14;Expl_Distress_15;Expl_Distress_16;Expl_Distress_17;Expl_Distress_18;Expl_Distress_19;Expl_Distress_20;Expl_Distress_21;Expl_Distress_22;Expl_Distress_23;Expl_Distress_24;Expl_Distress_txt;SPS_1;SPS_2;SPS_3;SPS_4;SPS_5;SPS_6;SPS_7;SPS_8;SPS_9;SPS_10;Expl_Coping_1;Expl_Coping_2;Expl_Coping_3;Expl_Coping_4;Expl_Coping_5;Expl_Coping_6;Expl_Coping_7;Expl_Coping_8;Expl_Coping_9;Expl_Coping_10;Expl_Coping_11;Expl_Coping_12;Expl_Coping_13;Expl_Coping_14;Expl_Coping_15;Expl_Coping_16;Expl_coping_txt;Expl_media_1;Expl_media_2;Expl_media_3;Expl_media_4;Expl_media_5;Expl_media_6;Final_open;PSS10_avg;SLON3_avg;neu;ext;ope;agr;con;SPS_avg;Scale_UCLA_TRI_avg
414;49361;588;06/04/2020 14:25;PT-BR;55;Female;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;1;Yes;Isolated;1;0;Program A;NA;No;3;3;3;5;3;4;3;3;3;3;2;2;3;8;9;5;8;5;5;5;9;5;5;5;5;5;5;5;6;6;3;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.9;233.333.333.333.333;NA;NA;NA;NA;NA;NA;NA
415;49366;630;05/04/2020 14:24;EN;26;Female;College degree, bachelor, master;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;4;0;Program B;NA;No;3;4;5;1;2;5;1;1;4;4;1;2;3;2;5;0;NA;2;5;4;4;6;6;4;6;6;2;6;6;5;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;4;3;1;4;3;2;3;3;4;4;3;6;4;99;5;99;6;5;4;1;5;99;4;5;6;6;4;5;2;5;4;6;3;4;3;6;1;NA;5;3;4;4;5;2;5;5;2;5;1;5;2;1;2;2;5;4;5;3;2;2;2;3;1;2;NA;3;2;3;1;3;1;NA;4.4;2;5;233.333.333.333.333;266.666.666.666.667;4;266.666.666.666.667;4;NA
416;49445;762;06/04/2020 14:11;PT-BR;59;Female;Up to 9 years of school;Up to 6 years of school;Self-employed;Brazil;no;Rj;Divorced/widowed;NA;Yes;Isolated;0;0;NA;NA;NA;3;1;2;4;3;1;5;3;3;1;3;3;2;7;7;4;6;9;5;8;5;5;6;4;4;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;266.666.666.666.667;NA;NA;NA;NA;NA;NA;NA
417;49554;1015;05/04/2020 13:55;PT-BR;49;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Life carries on with minor changes;1;0;Program A;NA;No;2;1;1;5;4;1;4;4;2;2;1;1;1;8;8;1;1;1;1;3;5;3;4;3;4;4;NA;4;5;5;2;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;6;6;5;4;4;6;4;4;4;5;5;2;6;2;2;2;1;4;2;3;1;2;5;5;4;5;4;2;3;2;1;2;2;4;2;5;1;NA;6;6;6;6;6;6;6;6;6;6;5;4;5;3;4;4;2;2;4;4;5;4;5;5;6;5;NA;3;3;4;3;2;5;NA;1.6;1;2;466.666.666.666.667;466.666.666.666.667;4;533.333.333.333.333;6;NA
418;49704;654;06/04/2020 13:27;PT-BR;43;Female;PhD/Doctorate;Up to 9 years of school;Full time employed;Brazil;no;RJ;Married/cohabiting;0;Yes;Isolated;1;0;Program A;NA;No;4;4;5;3;2;5;3;3;3;4;3;2;5;6;7;4;5;5;4;7;5;6;6;5;6;5;6;5;6;6;3;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;5;5;4;3;2;2;4;5;4;5;2;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.8;333.333.333.333.333;366.666.666.666.667;433.333.333.333.333;233.333.333.333.333;4;5;NA;NA
419;49767;768;05/04/2020 13:16;PT-BR;24;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Sao paulo;Single;0;Yes;Life carries on with minor changes;4;0;Program A;NA;No;4;2;4;3;1;4;2;1;4;4;3;2;4;4;5;2;0;4;7;6;5;3;6;6;6;3;4;5;4;4;5;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;3;6;6;5;4;5;4;3;5;6;3;6;5;6;6;1;6;4;6;5;4;1;6;6;6;6;6;6;6;5;6;6;5;6;3;6;5;NA;5;5;4;4;6;4;6;6;5;5;6;6;6;6;5;6;6;5;6;6;5;6;4;6;6;6;NA;6;6;6;6;6;2;NA;3.9;3;5;466.666.666.666.667;433.333.333.333.333;5;3;5;NA
420;49831;693;05/04/2020 13:05;PT-BR;35;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;1;Yes;Isolated;1;0;NA;Program D;No;4;5;5;3;1;4;2;2;5;3;4;3;5;5;6;1;5;6;6;6;6;6;6;5;5;5;8;6;6;6;5;3;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;4;4;3;5;5;6;5;4;5;6;5;6;5;2;1;6;2;3;4;1;1;99;6;5;6;6;6;2;5;1;3;6;3;4;1;4;6;NA;2;4;1;2;5;4;5;6;6;4;4;6;5;5;4;5;4;4;6;6;2;3;1;6;5;5;NA;5;2;5;4;5;3;NA;4.2;4;466.666.666.666.667;3;533.333.333.333.333;466.666.666.666.667;366.666.666.666.667;3.9;NA
421;49844;420;06/04/2020 12:59;PT-BR;37;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;NA;RS;Married/cohabiting;0;Yes;Isolated;1;0;Program A;NA;No;3;3;3;3;3;3;4;4;3;3;2;3;4;8;9;7;7;2;4;6;7;6;6;6;6;6;7;6;6;6;4;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;5;5;5;4;5;5;3;5;5;5;3;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.8;3;333.333.333.333.333;433.333.333.333.333;433.333.333.333.333;4;333.333.333.333.333;NA;NA
422;49965;1261;06/04/2020 12:52;PT-BR;48;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de janeiro;Married/cohabiting;1;Yes;Isolated;5;0;NA;Program C;Not sure;3;3;3;3;2;3;3;2;3;2;1;4;3;5;6;3;1;1;3;8;0;6;6;6;6;6;0;5;5;5;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;5;6;6;3;4;6;4;5;4;5;4;6;3;5;5;6;5;4;3;1;6;99;6;3;5;6;6;4;2;2;2;2;5;5;2;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.1;266.666.666.666.667;3;533.333.333.333.333;466.666.666.666.667;366.666.666.666.667;266.666.666.666.667;NA;NA
423;50071;1261;05/04/2020 12:36;PT-BR;57;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;Rio de janeiro;Married/cohabiting;1;Yes;Isolated;2;1;NA;Program D;No;2;2;3;4;1;2;4;3;3;3;1;1;1;6;8;2;3;3;4;5;4;5;5;5;5;5;5;5;6;5;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;5;5;5;3;5;5;6;3;5;5;2;3;5;4;4;3;5;2;3;4;4;1;6;4;6;6;6;4;4;3;2;4;3;5;3;5;6;Falta de exercício físico e possibilidade de agravar problema de coluna;5;5;5;5;4;5;5;6;5;6;4;3;5;2;4;5;1;1;5;4;5;4;6;5;3;5;NA;6;5;5;5;6;4;A percepção de que a solidariedade entre as pessoas está aumentando aumenta o meu bem-estar.;2.7;1;2;466.666.666.666.667;533.333.333.333.333;466.666.666.666.667;366.666.666.666.667;5.1;NA
424;50094;646;06/04/2020 12:22;PT-BR;25;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;NA;Program D;No;4;3;5;3;3;4;3;3;4;5;4;4;4;5;9;NA;2;3;7;7;NA;5;5;5;6;5;0;6;6;6;6;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.7;4;NA;NA;NA;NA;NA;NA;NA
425;50103;774;05/04/2020 12:22;PT-BR;58;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;1;Yes;Isolated;3;0;NA;Program D;No;3;3;4;3;2;4;4;2;2;3;4;2;3;7;9;1;1;NA;5;9;4;4;4;4;6;4;1;5;6;6;3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;5;6;6;1;6;6;5;5;4;5;2;3;5;4;5;99;3;5;5;99;5;99;6;3;6;6;6;2;4;4;6;6;4;5;5;6;5;NA;5;5;5;5;5;5;6;5;5;6;2;5;5;1;5;6;1;1;5;4;3;4;5;6;2;4;NA;5;6;6;4;6;1;NA;3.2;3;266.666.666.666.667;6;566.666.666.666.667;366.666.666.666.667;366.666.666.666.667;5.2;NA
426;50118;762;05/04/2020 12:20;PT-BR;50;Male;Up to 12 years of school;College degree;Self-employed;Brazil;yes;Minas Gerais;Married/cohabiting;4;Yes;Life carries on with minor changes;4;0;NA;NA;NA;3;2;3;3;2;2;2;2;5;3;2;1;1;9;10;7;7;3;3;3;3;6;6;5;6;6;5;4;5;6;4;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;4;5;4;4;2;4;3;6;3;5;6;1;1;3;6;4;5;1;4;5;2;5;3;3;5;5;4;99;1;3;3;1;4;4;2;5;2;3;NA;6;4;6;3;6;6;5;5;4;5;3;5;2;5;4;3;4;2;3;4;5;5;2;2;1;6;NA;3;5;4;4;3;4;NA;3.3;133.333.333.333.333;4;433.333.333.333.333;433.333.333.333.333;5;333.333.333.333.333;5;NA
427;50251;1161;05/04/2020 12:03;PT-BR;40;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;1;0;Program B;NA;No;2;2;2;5;3;2;5;5;1;1;1;1;1;6;9;4;7;2;2;8;8;3;3;4;6;6;5;6;6;6;1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;5;6;6;5;6;6;6;2;5;6;3;4;6;6;1;99;5;2;2;1;2;99;6;5;4;2;5;1;1;1;1;1;1;3;1;3;2;NA;6;6;6;6;6;6;6;6;6;6;4;3;5;2;5;5;2;2;5;5;5;5;5;5;5;5;NA;4;5;5;4;4;4;NA;1.6;1;266.666.666.666.667;466.666.666.666.667;6;533.333.333.333.333;4;6;NA
428;50786;7405;05/04/2020 12:11;PT-BR;45;Female;Some College, short continuing education or equivalent;None;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Life carries on with minor changes;1;1;Program B;NA;No;3;2;3;5;2;2;4;4;2;1;2;1;1;7;9;3;5;6;6;9;8;5;5;5;5;5;5;5;5;5;2;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;6;5;6;3;5;5;5;3;5;5;5;2;5;6;2;5;5;2;2;2;5;1;6;6;6;5;6;2;2;2;1;2;4;4;4;4;2;NA;5;5;5;5;5;5;5;6;5;5;5;4;6;4;6;6;5;5;5;6;5;5;5;6;6;5;NA;6;5;5;6;5;3;NA;2.2;133.333.333.333.333;266.666.666.666.667;5;5;466.666.666.666.667;5;5.1;NA
429;51417;1401;05/04/2020 09:03;PT-BR;31;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;4;0;NA;Program D;Yes;5;3;5;4;1;3;3;1;5;3;5;1;5;3;5;5;5;5;5;5;10;4;4;4;4;6;3;6;6;4;6;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2;2;6;6;1;6;5;2;1;1;6;2;2;6;6;6;99;6;6;6;6;6;99;6;5;3;4;6;6;6;6;6;6;2;3;1;6;1;NA;5;6;6;6;6;6;6;6;6;6;1;2;6;2;6;6;6;6;6;6;NA;3;5;4;6;6;NA;6;6;6;5;6;1;O que mais esta me afetando é não poder trabalhar e com isso não irei receber  Tive que trancar a matricula da minha segunda graduação  Infelizmente se não morrer de coronavírus vamos morrer de fome pois com ajuda do governo ou pagamos contas ou compramos alimentação;3.9;366.666.666.666.667;433.333.333.333.333;6;433.333.333.333.333;433.333.333.333.333;433.333.333.333.333;5.9;NA
430;51545;1510;05/04/2020 08:47;PT-BR;31;Female;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;1;1;Program B;NA;No;1;3;5;4;3;3;4;2;3;2;3;1;5;3;5;2;6;7;7;10;5;6;6;6;6;6;7;6;6;6;5;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;5;6;5;2;5;4;2;4;5;5;3;5;5;6;3;5;2;3;5;6;2;5;5;5;5;6;5;4;5;2;5;6;5;5;2;5;3;NA;6;6;6;6;6;6;6;6;6;6;4;2;6;2;6;5;5;5;6;6;5;6;6;6;6;4;NA;5;5;4;4;5;2;NA;2.8;3;3;533.333.333.333.333;366.666.666.666.667;433.333.333.333.333;333.333.333.333.333;6;NA
431;51707;1194;05/04/2020 08:21;PT-BR;32;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;RJ;Single;3;Yes;Life carries on with minor changes;2;0;NA;Program D;No;3;2;3;4;5;4;3;4;2;2;3;2;4;5;5;2;3;4;5;8;3;6;6;6;6;6;3;6;6;6;6;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;6;6;4;5;6;5;4;3;5;6;4;6;3;5;4;1;5;4;3;4;6;99;4;6;6;6;5;3;3;2;2;1;4;2;1;4;99;Propagação do vírus e demora para encontrar a cura.;5;6;5;4;4;4;5;6;5;6;5;1;6;1;4;6;4;4;6;6;6;6;3;6;6;5;NA;6;2;6;4;3;1;O perigo a que estamos expostos caso o país entre em um descontrole quanto a nossa segurança, saúde e bem estar.;2.4;3;366.666.666.666.667;4;5;5;266.666.666.666.667;5;NA
432;51726;3549;05/04/2020 08:58;EN;41;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;yes;Minas Gerais;Single;0;No;Isolated;1;0;Program B;NA;Not sure;3;4;4;3;4;4;4;3;4;3;4;4;3;8;7;2;4;5;8;10;1;3;5;5;5;5;1;6;6;6;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;3;5;5;4;4;4;4;5;2;5;4;4;99;5;4;4;2;4;99;6;5;4;5;6;4;4;5;2;5;5;6;6;6;5;NA;4;5;4;5;5;5;5;5;5;5;2;2;5;1;5;4;4;4;4;4;4;2;5;5;5;5;NA;6;6;6;6;6;1;NA;3.2;366.666.666.666.667;4;466.666.666.666.667;466.666.666.666.667;366.666.666.666.667;5;4.8;NA
433;51818;1529;05/04/2020 08:10;PT-BR;41;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA;Program C;Not sure;3;3;3;3;2;3;4;2;4;2;1;2;3;6;8;0;0;5;5;5;0;4;4;5;6;6;1;5;5;4;3;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;4;6;6;3;5;6;5;5;4;4;4;5;4;6;5;99;4;2;4;1;4;99;4;6;5;6;4;4;4;3;2;4;4;4;2;5;6;NA;5;5;5;4;6;5;5;6;5;5;1;5;6;4;5;4;2;2;5;5;3;1;5;6;1;2;NA;2;5;5;4;4;4;NA;3.1;2;433.333.333.333.333;533.333.333.333.333;533.333.333.333.333;333.333.333.333.333;333.333.333.333.333;5.1;NA
434;51947;6104;05/04/2020 09:11;PT-BR;46;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;1;0;NA;NA;NA;1;3;3;4;3;1;3;1;3;1;1;1;4;7;9;5;5;9;8;9;7;6;6;6;6;6;5;5;5;5;5;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;4;6;4;2;2;4;1;2;3;6;5;4;5;5;4;99;99;4;5;4;4;99;5;5;6;6;4;5;5;3;5;4;4;6;4;5;2;NA;6;NA;6;6;6;NA;6;6;5;6;5;6;6;5;6;5;4;NA;6;5;4;4;5;6;6;5;NA;5;5;5;6;5;4;NA;2.5;2;333.333.333.333.333;5;233.333.333.333.333;466.666.666.666.667;433.333.333.333.333;5.875;NA
435;51985;1090;05/04/2020 07:41;PT-BR;70;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Life carries on with minor changes;0;0;Program A;NA;Not sure;2;1;2;4;4;2;5;4;1;1;3;2;3;7;9;7;6;6;6;9;9;5;6;4;3;2;5;6;6;6;2;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;6;6;5;2;4;6;4;4;4;4;6;5;5;5;99;1;99;5;5;2;99;99;5;1;3;4;5;99;5;1;4;6;1;1;1;2;1;NA;5;5;5;5;5;5;5;6;5;6;6;4;6;5;5;4;1;1;6;5;6;6;5;5;4;6;NA;6;6;4;6;3;5;NA;1.6;266.666.666.666.667;266.666.666.666.667;533.333.333.333.333;466.666.666.666.667;366.666.666.666.667;433.333.333.333.333;5.2;NA
436;52059;885;05/04/2020 07:27;PT-BR;43;Male;College degree, bachelor, master;Some College or equivalent;Student;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;1;1;NA;Program C;No;3;2;3;3;3;1;5;3;2;1;1;2;1;6;8;8;3;10;7;10;5;4;4;4;3;3;5;6;6;6;1;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;4;5;3;5;6;5;5;5;4;6;4;1;5;1;1;4;1;1;1;1;3;6;1;1;2;5;4;1;2;2;1;2;4;2;1;2;1;NA;5;4;4;5;5;5;5;5;4;5;2;4;4;4;4;5;2;2;4;4;4;4;5;4;1;4;NA;2;5;5;3;5;5;NA;2.2;133.333.333.333.333;433.333.333.333.333;333.333.333.333.333;533.333.333.333.333;4;5;4.7;NA
437;52070;2107;05/04/2020 07:46;PT-BR;33;Female;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;RJ;Married/cohabiting;1;Yes;Isolated;1;1;Program B;NA;No;5;3;4;3;2;5;4;2;3;1;1;1;3;7;10;4;4;2;NA;9;3;5;6;6;6;6;4;6;6;6;2;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;5;5;4;6;5;5;1;5;6;3;3;6;6;6;5;6;5;3;5;3;5;5;5;6;6;6;6;5;3;3;4;99;6;3;6;4;NA;5;6;6;6;6;6;6;6;6;6;2;6;6;6;6;4;1;2;4;6;4;4;5;6;6;3;NA;4;6;5;3;3;4;Além de meu trabalho autônomo (renda principal) haver sido muito afetada pela pandemia, possuo também um trabalho formal que complementava minha renda familiar. Acredito fortemente que haverá uma demissão em massa nesse ambiente que emprega mais de 30 profissionais, pois não haverá capacidade financeira de manter o funcionamento da instituição. E muitos desses colegas, não possuem outra fonte de renda familiar.;3.4;166.666.666.666.667;266.666.666.666.667;433.333.333.333.333;533.333.333.333.333;566.666.666.666.667;433.333.333.333.333;5.9;NA
438;52514;863;05/04/2020 06:35;PT-BR;47;Female;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Minas gerais;Married/cohabiting;2;Yes;Life carries on with minor changes;1;1;NA;Program D;No;3;4;2;2;1;3;2;3;3;2;1;1;2;6;8;5;5;5;7;8;7;5;5;5;6;6;5;5;5;5;2;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;5;5;5;3;4;3;3;2;3;5;5;2;5;5;5;99;4;99;4;4;99;1;4;6;99;99;4;99;99;99;99;99;99;4;6;4;2;NA;5;5;5;5;5;5;5;5;5;5;4;2;5;2;5;3;2;2;5;5;2;2;5;5;5;2;NA;3;4;3;2;2;4;NA;3.3;133.333.333.333.333;333.333.333.333.333;466.666.666.666.667;333.333.333.333.333;433.333.333.333.333;5;5;NA
439;52586;2189;05/04/2020 06:47;PT-BR;48;Female;College degree, bachelor, master;NA;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Isolated;2;1;Program A;NA;No;3;2;3;3;2;3;4;3;2;2;2;1;4;7;10;5;4;3;3;7;6;4;6;4;6;4;3;5;6;5;5;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;3;5;3;4;4;6;4;1;5;5;2;2;4;2;3;5;5;5;6;2;5;5;5;6;5;5;4;4;4;4;4;5;5;5;4;6;5;NA;5;6;5;5;5;5;5;6;5;5;3;6;6;5;6;5;1;1;4;4;2;4;3;6;2;3;NA;5;6;5;5;6;3;Me mudei para a periferia da minha cidade. Me sinto mais segura quanto a infecção do COVID mas menos segura por conta de possibilidades de assaltos;2.7;233.333.333.333.333;4;366.666.666.666.667;466.666.666.666.667;533.333.333.333.333;366.666.666.666.667;5.2;NA
440;52879;1015;05/04/2020 05:55;PT-BR;46;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Paraná;Married/cohabiting;3;Yes;Isolated;3;1;NA;Program D;No;3;4;3;4;1;4;4;2;3;4;2;2;4;4;6;0;2;2;6;7;0;5;6;4;5;5;0;5;6;6;3;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;1;5;3;4;4;5;5;4;4;4;5;4;5;5;3;5;5;2;4;2;4;4;5;3;4;5;5;4;4;3;5;3;3;4;5;5;5;1;NA;5;6;5;6;5;5;4;6;5;5;2;4;4;4;4;5;1;1;5;6;5;2;5;5;5;3;NA;5;5;5;5;5;2;NA;3.4;266.666.666.666.667;266.666.666.666.667;333.333.333.333.333;466.666.666.666.667;4;366.666.666.666.667;5.2;NA
441;52969;1109;06/04/2020 05:44;PT-BR;48;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;São paulo;Married/cohabiting;2;Yes;NA;3;0;Program A;NA;No;2;2;4;5;4;3;4;4;3;2;3;2;3;5;7;0;1;5;7;8;0;5;6;5;5;5;0;6;5;5;5;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;5;5;3;3;3;3;4;4;4;5;5;3;5;1;2;2;2;2;5;3;2;2;5;2;5;5;5;2;2;1;5;2;4;2;2;5;4;NA;6;5;4;5;5;5;5;6;5;6;2;5;6;4;6;5;1;1;4;5;4;3;5;2;6;5;NA;4;4;4;2;4;1;NA;2.3;266.666.666.666.667;233.333.333.333.333;4;333.333.333.333.333;4;466.666.666.666.667;5.2;NA
