PARTICIPANTES;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;AD_gain;AD_loss;AD_check;Scale_PSS10_UCLA_1;Scale_PSS10_UCLA_2;Scale_PSS10_UCLA_3;Scale_PSS10_UCLA_4;Scale_PSS10_UCLA_5;Scale_PSS10_UCLA_6;Scale_PSS10_UCLA_7;Scale_PSS10_UCLA_8;Scale_PSS10_UCLA_9;Scale_PSS10_UCLA_10;Scale_SLON_1;Scale_SLON_2;Scale_SLON_3;OECD_people_1;OECD_people_2;OECD_insititutions_1;OECD_insititutions_2;OECD_insititutions_3;OECD_insititutions_4;OECD_insititutions_5;OECD_insititutions_6;Corona_concerns_1;Corona_concerns_2;Corona_concerns_3;Corona_concerns_4;Corona_concerns_5;Trust_countrymeasure;Compliance_1;Compliance_2;Compliance_3;Compliance_4;Compliance_5;Compliance_6;born_92;experience_war;experience_war_TXT;war_injury;loss_during_war;time_spent_in_war;time_spent_in_war_TXT;Scale_UCLA_TRI_1;Scale_UCLA_TRI_2;Scale_UCLA_TRI_3;Scale_UCLA_TRI_4;PS_PTSD_1;PS_PTSD_2;PS_PTSD_3;PS_PTSD_4;PS_PTSD_5;BFF_15_1;BFF_15_2;BFF_15_3;BFF_15_4;BFF_15_5;BFF_15_6;BFF_15_7;BFF_15_8;BFF_15_9;BFF_15_10;BFF_15_11;BFF_15_12;BFF_15_13;BFF_15_14;BFF_15_15;Expl_Distress_1;Expl_Distress_2;Expl_Distress_3;Expl_Distress_4;Expl_Distress_5;Expl_Distress_6;Expl_Distress_7;Expl_Distress_8;Expl_Distress_9;Expl_Distress_10;Expl_Distress_11;Expl_Distress_12;Expl_Distress_13;Expl_Distress_14;Expl_Distress_15;Expl_Distress_16;Expl_Distress_17;Expl_Distress_18;Expl_Distress_19;Expl_Distress_20;Expl_Distress_21;Expl_Distress_22;Expl_Distress_23;Expl_Distress_24;Expl_Distress_txt;SPS_1;SPS_2;SPS_3;SPS_4;SPS_5;SPS_6;SPS_7;SPS_8;SPS_9;SPS_10;Expl_Coping_1;Expl_Coping_2;Expl_Coping_3;Expl_Coping_4;Expl_Coping_5;Expl_Coping_6;Expl_Coping_7;Expl_Coping_8;Expl_Coping_9;Expl_Coping_10;Expl_Coping_11;Expl_Coping_12;Expl_Coping_13;Expl_Coping_14;Expl_Coping_15;Expl_Coping_16;Expl_coping_txt;Expl_media_1;Expl_media_2;Expl_media_3;Expl_media_4;Expl_media_5;Expl_media_6;Final_open;PSS10_avg;SLON3_avg;neu;ext;ope;agr;con;SPS_avg;Scale_UCLA_TRI_avg
680;98275;1111;31/03/2020 16:47;PT-BR;23;Male;Some College, short continuing education or equivalent;Some College or equivalent;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;Program A;NA;No;NA;3;3;4;4;3;4;3;1;3;2;1;2;3;6;5;4;5;4;7;6;1;5;2;5;4;5;6;6;6;1;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;6;6;5;4;5;5;5;3;6;5;5;5;4;1;4;1;2;2;1;3;2;1;5;2;4;5;5;1;1;1;1;2;1;4;1;2;1;NA;6;5;6;4;6;4;6;6;5;5;2;5;5;1;5;2;1;5;5;1;5;5;5;4;5;3;NA;2;2;2;2;2;2;NA;244.444.444.444.444;166.666.666.666.667;166.666.666.666.667;466.666.666.666.667;5;5;366.666.666.666.667;5.3;NA
681;98331;114;01/04/2020 16:28;PT-BR;22;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Part time employed;Brazil;yes;paraiba;Single;4;No;Life carries on with minor changes;5;2;NA;Program C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
682;98335;929;31/03/2020 16:41;PT-BR;24;Male;Some College, short continuing education or equivalent;College degree;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;Program A;NA;No;4;5;3;3;3;4;2;2;4;3;3;3;1;4;6;0;3;1;5;5;2;5;6;6;6;6;2;6;6;4;1;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;1;6;6;3;4;5;4;4;3;6;3;2;5;6;6;99;6;6;1;3;1;99;5;6;6;6;5;6;6;4;4;5;4;5;1;6;3;NA;6;6;6;5;6;4;6;6;4;6;4;2;6;1;6;6;6;6;6;4;6;6;5;5;6;6;NA;4;4;4;4;4;1;NA;3.7;233.333.333.333.333;6;533.333.333.333.333;433.333.333.333.333;4;433.333.333.333.333;5.5;NA
683;98667;7045;31/03/2020 18:08;PT-BR;20;Female;Some College, short continuing education or equivalent;PhD/Doctorate;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;Program B;NA;No;4;4;4;3;1;4;3;2;3;4;1;1;1;5;8;NA;2;2;5;10;NA;4;5;5;6;6;NA;6;6;6;4;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;4;5;2;4;4;6;6;2;4;6;2;5;5;6;99;99;99;6;5;99;4;99;5;6;99;6;6;6;6;6;99;99;4;6;3;6;99;NA;5;5;5;5;5;5;5;5;5;5;NA;4;5;4;4;4;5;5;6;5;5;2;3;5;5;2;NA;3;5;4;5;5;2;NA;3.8;1;4;333.333.333.333.333;533.333.333.333.333;5;3;5;NA
684;98715;3121;31/03/2020 16:57;PT-BR;32;Male;PhD/Doctorate;College degree;Part time employed;Brazil;no;Paraiba;Single;0;Yes;Isolated;4;0;NA;Program D;No;2;2;5;3;3;5;4;4;4;2;3;2;5;7;9;2;4;6;9;10;1;4;6;5;5;4;3;6;5;6;2;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;5;6;6;5;4;4;4;1;5;6;2;5;5;5;5;99;3;2;4;1;6;99;4;3;6;6;6;6;6;2;4;5;5;2;3;5;1;NA;6;6;5;6;6;6;6;6;6;6;1;NA;5;3;4;5;5;5;3;2;2;1;4;1;1;3;NA;4;6;6;3;2;5;NA;3;333.333.333.333.333;166.666.666.666.667;466.666.666.666.667;4;566.666.666.666.667;3;5.9;NA
685;98905;591;01/04/2020 15:57;PT-BR;21;Female;Some College, short continuing education or equivalent;College degree;Not employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;5;1;Program B;NA;Yes;4;2;4;3;1;3;3;2;3;1;3;3;5;8;8;6;6;4;0;3;8;6;6;4;5;6;8;6;5;6;5;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;1;6;6;2;5;4;6;4;6;6;5;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.2;366.666.666.666.667;6;566.666.666.666.667;5;5;4;NA;NA
686;98919;1258;31/03/2020 16:22;PT-BR;51;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;Rio Grande do Sul;Married/cohabiting;1;Yes;Life carries on as usual;1;0;NA;Program D;No;4;1;2;3;3;1;4;2;3;1;1;1;1;7;9;0;8;1;6;2;8;4;5;4;5;5;5;5;5;5;2;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;4;3;3;4;5;4;4;3;5;5;5;1;5;3;2;5;2;4;2;2;2;2;5;4;5;4;5;2;2;2;2;2;2;4;2;5;2;NA;5;4;5;5;5;5;5;5;5;5;2;4;5;4;4;5;2;2;5;4;4;4;5;5;4;4;NA;5;5;5;3;3;5;NA;2.4;1;333.333.333.333.333;3;433.333.333.333.333;466.666.666.666.667;533.333.333.333.333;4.9;NA
687;98926;1096;31/03/2020 16:03;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;3;0;Program A;NA;No;4;4;2;4;2;4;3;5;1;2;3;1;4;5;7;5;3;3;2;10;5;3;4;3;5;6;5;4;4;2;4;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;3;6;3;5;3;6;3;4;3;6;5;2;4;6;6;99;5;4;5;1;6;99;6;2;2;3;2;4;4;1;6;5;2;2;1;5;1;NA;6;6;5;5;6;4;6;6;5;6;3;3;6;5;4;5;1;1;4;4;3;3;6;5;1;3;NA;2;2;5;5;5;1;NA;2.7;266.666.666.666.667;366.666.666.666.667;366.666.666.666.667;4;4;466.666.666.666.667;5.5;NA
688;98936;529;01/04/2020 15:53;PT-BR;18;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA;Program D;No;4;4;4;3;2;3;3;2;4;2;4;2;4;5;8;1;5;5;4;8;4;5;5;5;5;5;3;6;5;5;4;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;4;6;6;3;6;4;4;3;5;5;4;5;5;6;5;99;5;4;4;5;5;99;4;4;5;5;5;99;5;3;4;5;5;5;3;6;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.5;333.333.333.333.333;333.333.333.333.333;533.333.333.333.333;466.666.666.666.667;466.666.666.666.667;366.666.666.666.667;NA;NA
689;98966;1373;31/03/2020 16:04;PT-BR;20;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;NA;Program D;Not sure;4;4;4;3;3;4;3;2;4;4;5;2;4;5;7;2;3;5;8;8;0;6;6;5;6;5;2;6;6;6;4;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;2;6;4;4;4;6;4;4;4;3;3;4;5;4;5;99;6;6;4;3;6;99;5;6;6;6;5;5;4;2;6;6;2;6;2;6;1;Me sinto aflita por perceber a deterioração da minha saúde mental.;5;3;3;4;5;5;2;6;4;4;3;5;5;4;4;3;2;4;4;4;3;2;4;6;4;3;NA;4;4;3;5;3;1;NA;3.7;366.666.666.666.667;4;433.333.333.333.333;466.666.666.666.667;333.333.333.333.333;366.666.666.666.667;4.1;NA
690;98979;2011;31/03/2020 16:14;PT-BR;35;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;0;0;Program B;NA;No;3;2;2;2;2;2;4;2;3;2;2;NA;2;3;5;1;2;3;4;7;1;5;6;6;6;6;2;4;5;6;2;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;3;3;3;5;3;4;4;2;3;5;3;5;2;6;5;99;5;6;5;1;4;99;5;6;6;6;6;3;3;5;2;5;4;4;3;5;3;NA;5;4;4;5;5;3;5;5;2;5;2;5;5;4;4;2;5;5;5;5;5;2;5;5;3;3;NA;2;6;5;6;5;2;NA;2.8;2;366.666.666.666.667;266.666.666.666.667;366.666.666.666.667;433.333.333.333.333;233.333.333.333.333;4.3;NA
691;98988;591;01/04/2020 15:50;PT-BR;20;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Not employed;Brazil;no;Rio de janeiro;Single;0;Yes;Life carries on with minor changes;NA;NA;NA;Program C;No;5;3;5;4;1;4;3;3;3;1;3;1;5;3;6;1;3;3;3;5;1;6;6;6;6;6;5;6;6;6;1;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;5;6;5;5;5;5;5;3;5;5;4;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.4;3;333.333.333.333.333;433.333.333.333.333;5;466.666.666.666.667;4;NA;NA
692;98997;212;01/04/2020 15:43;PT-BR;24;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;NA;3;0;Program A;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
